sample_date,Engraulidae (Anchovy),Clupeidae (Herring/Sardine/Mehaden),Paralichthyidae (Large-tooth flounders),Belonidae (Needlefish),Bovidae (Cattle/Goat),Sciaenidae (Drum/Croaker),No hits (no hits),Suidae (Pig),Stromateidae (Butterfish),Salmonidae (Salmonids),Sebastidae (Rockfish/Perch),NA (na),Merlucciidae (Cod/Hake),Carangidae (Jacks),Scombridae (Mackerel/Tuna),Hominidae (Human/Ape),Pleuronectidae (Righteye flounders),Anoplopomatidae (Sablefish),Xiphiidae (Swordfish),Not assigned (not assigned),Centrolophidae (Medusafish),Osmeridae (Smelt),Hexagrammidae (Greenling),Exocoetidae (Flying Fish),Molidae (Molas),Coryphaenidae (Dolphinfish),Laridae (Gulls),Balaenopteridae (Rorquals (Baleens)),Ophidiidae (Cusk-eel),Canidae (Dog),Phasianidae (Groundliving Birds),Istiophoridae (Marlin),Otariidae (Sea Lion),Phocoenidae (Porpoise),Columbidae (Pigeon/Dove),Alopiidae (Thresher Sharks),Anarhichadidae (Wolffish),Atherinopsidae (Silversides),Rhodobacteraceae (Protobacteria),Pseudomonadaceae (Protobacteria),Bacillariophyta (Diatom),Felidae (Cat),Planctomycetaceae (Planctomycete Bacteria),candidate division marine group (Bacteria),Pelagophyceae (Heterkont Algae),OMG group (Bacteria),Eukaryota (Eukaryota),Pseudoalteromonadaceae (Proteobacteria),Mustelidae (Otter),Gammaproteobacteria (Proteobacteria
2008-09-18 26208c01_11_hplc_E,348,320786,0,0,0,0,9223,65,761,0,1302,2362,0,0,3688,15,0,0,0,0,0,0,0,0,1459,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-02 21410c01_11_hplc_E,2,1,60056,0,2918,0,40121,0,0,95875,101699,9775,0,0,1,1570,0,26581,1,7,0,0,0,0,0,0,1266,0,0,3,2,0,0,397,0,0,0,0,1,0,1,0,1,3,3,0,0,0,0,0
2010-09-09 s410c01_12_hplc_E,0,211272,22367,0,89968,5554,6254,0,2,0,1,2175,0,0,0,2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2011-08-03 21511c01_12_hplc_E,33707,60395,0,0,25453,80147,41386,17549,0,1,0,4559,0,0,0,35314,40121,0,0,116,0,0,0,0,0,0,0,0,822,665,0,0,43,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0
2011-09-12 25511c01_12_hplc_E,37720,60137,59391,0,60595,35768,390,0,62878,0,0,3697,5273,0,0,2015,0,16,0,12101,0,0,0,0,0,0,2,0,0,30,0,0,0,40,220,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0
2011-09-29 canon11c01_12_hplc_E,163418,0,14032,0,0,136087,1835,5289,1,0,0,4448,14921,0,0,221,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,3,2,0,2,0,0,0,1,0,0,0
2012-08-08 22112c01_12_hplc_E,1,0,5008,331057,0,0,210,0,0,0,0,2041,1824,0,0,15,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,5,3,7,0,1,1,1,0,0,0,0,0
2012-08-22 23512c01_12_hplc_E,3,0,92437,152781,1,1,1798,2,67336,1859,0,10328,0,0,0,6982,6679,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,3,0,0,0,0
2012-09-11 c0912c01_12_hplc_E,1,1,172645,0,32759,81557,1062,27981,0,0,0,7371,4015,0,0,3654,0,0,0,13,9222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
2012-10-11 28512c01_12_hplc_E,57330,1,35005,0,2299,0,503,195074,41821,1,0,3465,0,0,0,4763,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,1,1,0,0
2013-08-28 24013c01_12_hplc_E,7527,29647,57311,0,0,0,154312,582,12888,0,0,10597,59614,0,2865,941,0,0,0,33,0,3235,0,0,0,0,0,0,0,0,650,0,7,0,0,68,0,0,1,2,3,0,0,0,0,0,0,0,1,0
2013-09-19 canon13c01_12_A+_E,337474,424,197,0,0,0,1388,0,0,0,0,507,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,151,0,0,0,0,82,31,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2013-09-19 canon13c01_12_hplc_E,324137,5382,2812,0,0,0,870,0,879,0,1145,1937,0,0,0,0,360,0,0,3,0,1,2441,0,0,0,0,231,0,0,0,0,31,0,0,0,54,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-11-12 31613c01_12_hplc_E,335785,1,2774,0,0,458,143,0,0,0,0,384,0,0,0,30,0,0,0,3,0,0,0,0,0,0,0,649,0,53,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
2014-10-07 28014c01_12_hplc_E,339773,2,0,0,0,0,406,0,0,0,0,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-29 30214c01_12_hplc_E,335763,2,395,0,0,1,136,0,0,0,0,969,0,550,2455,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2015-08-03 21615c01_12_hplc_E,240862,56199,0,0,17036,1,400,78,0,0,0,2618,0,14391,8150,547,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-25 23715c01_12_hplc_E,94330,83749,0,0,154992,0,139,0,0,0,0,1082,0,580,3883,4,0,0,0,0,0,0,0,1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ArtComm2A_E,0,1804,0,1,0,0,40818,0,0,58517,47857,50544,0,69148,43995,0,0,0,25656,0,0,0,0,0,0,1332,0,0,0,0,0,571,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
